Products_Name, Rating, Pricing
Apple iPhone 6s (Space Grey -  32 GB),4.5,₹29 - 799
Apple iPhone 6s (Gold -  32 GB),4.5,₹29 - 799
Apple iPhone XR (Black -  64 GB),4.6,₹49 - 900
Apple iPhone 6s (Silver -  32 GB),4.5,₹29 - 799
Apple iPhone XR (White -  64 GB),4.6,₹49 - 900
Apple iPhone XR ((PRODUCT)RED -  128 GB),4.6,₹54 - 900
Apple iPhone 6 (Space Grey -  32 GB),4.4,₹27 - 999
Apple iPhone 8 (Silver -  64 GB),4.6,₹39 - 900
Apple iPhone 8 (Space Grey -  64 GB),4.6,₹47 - 999
Apple iPhone X (Silver -  64 GB),4.6,₹69 - 999
Apple iPhone XR (Coral -  128 GB),4.6,₹81 - 900
Apple iPhone X (Space Gray -  64 GB),4.6,₹69 - 999
Apple iPhone XS (Silver -  256 GB),4.6,₹1 - 03 - 900
Apple iPhone 8 Plus (Silver -  256 GB),4.6,₹84 - 900
Apple iPhone 8 Plus (Silver -  64 GB),4.6,₹60 - 999
Apple iPhone 8 (Silver -  256 GB),4.6,₹64 - 400
Apple iPhone 7 Plus (Red -  128 GB),4.6,₹57 - 490
Apple iPhone 6s (Rose Gold -  32 GB),4.5,₹29 - 799
Apple iPhone XR (Yellow -  128 GB),4.6,₹54 - 900
Apple iPhone XR (White -  128 GB),4.6,₹57 - 899
Apple iPhone 8 Plus (Space Grey -  256 GB),4.6,₹70 - 990
Apple iPhone 7 Plus (Silver -  256 GB),4.6,₹62 - 900
Apple iPhone XS Max (Silver -  64 GB),4.6,₹84 - 500
Apple iPhone XR (Coral -  64 GB),4.6,₹56 - 799
